"id";"Name";"ItemType";"Source";"Location";"Price";"FavoriteOf";"Effects"
1;"Torigoth Marinade";12;"Llysiau Greens";42;60;"Adenine";"{""Effects"": [""+5.0% HP recovery""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
2;"Leftherian Life";2;"Nopox Hobby Store";22;2920;"Adenine";"{""Effects"": [""+ 20.0% Blade Arts effect"", ""+ 6.0% Affinity gain"", ""Specials recharge 0.5 each second""], ""Trust"": 15, ""Duration"": ""03:36:00""}"
3;"Pan-Fried Tartari";8;"Pyra's Cooking";39;750;"Rex";"{""Effects"": [""-7.0% physical dmg taken"", ""-7.0% ether dmg taken""], ""Trust"": 12, ""Duration"": ""00:50:00""}"
4;"Coral Reversi";2;"Hobby Knick-Knacks";143;540;"Rex";"{""Effects"": [""+14.0% Blade Arts effect""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
5;"Cream Orange Paratha";10;"Tilly Bakery";42;90;"Nia";"{""Effects"": [""Recharges Arts by 0.3 each second.""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
6;"Ardainian Bear Carving";1;"Yafush Antiques";197;720;"Nia";"{""Effects"": [""+10.0% Affinity gain""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
7;"Juicy Samod";10;"Rumbletum Canteen";14;30;"Tora";"{""Effects"": [""+8.0% max HP to dmg barrier""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
8;"Silken Stool";11;"Future Crafts";370;900;"Tora";"{""Effects"": [""-13.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
9;"Armu T-Bone Steak";8;"Volty Butchers";143;90;"Vandham";"{""Effects"": [""-3.0% physical dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
10;"The Alrestogony";6;"Aldomar Books";143;360;"Vandham";"{""Effects"": [""+8.0% dmg dealt by Specials""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
11;"Quoteletta";8;"Bassani Butchers";197;150;"Morag";"{""Effects"": [""-5.0% physical dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
12;"Steamwork Organ";7;"Adelno Music";197;540;"Morag";"{""Effects"": [""Specials recharge 0.8 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
13;"Addam's Embercake";12;"Lectica Vegetables";315;750;"Zeke";"{""Effects"": [""+13.0% HP recovery""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
14;"Snow-Crystal Vase";1;"Memoria Art";315;3600;"Zeke";"{""Effects"": [""+10.0% Affinity gain""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
15;"Jenerossi Tea";5;"Vargel Tavern";131;90;"Pyra";"{""Effects"": [""+15.0% Party Gauge gain""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
16;"Woodgrain Alphorn";7;"Soniarus Music";42;360;"Pyra";"{""Effects"": [""Specials recharge 0.5 each second""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
17;"Cloud Sea Crab Stick";9;"Hanoon Fishmongers";197;120;"Mythra";"{""Effects"": [""-5.0% ether dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
18;"Final Chorus";1;"Maluria Antiques";142;540;"Mythra";"{""Effects"": [""+6.0% Affinity gain""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
19;"Dried Sunfish";9;"Ikthus Fishmongers";143;90;"Dromarch";"{""Effects"": [""-3.0% ether dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
20;"Cedarwood Koto";7;"Soniarus Music";42;540;"Dromarch";"{""Effects"": [""Specials recharge 0.8 each second""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
21;"Fizz Juice";5;"12 Brothersisterpon";22;60;"Poppi α";"{""Effects"": [""+10% Party Gauge gain""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
22;"Roly-Poly Maracas";7;"Strummer Instruments";22;180;"Poppi α";"{""Effects"": [""Specials recharge 0.3 each second""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
23;"Sky-Jewel Tart";4;"Salter Sweets";197;120;"Poppi QT";"{""Effects"": [""Specials recharge 0.3 each second""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
24;"Genbu-Weave Clothes";11;"Boldarde Textiles";315;3600;"Poppi QT";"{""Effects"": [""-10.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
25;"Melodious Melon Parfait";4;"Honeycomb Sweets";22;30;"Poppi QTπ";"{""Effects"": [""Recharges Arts by 0.1 each second.""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
26;"Flurrycomb";3;"Cosmetipolitan";50;540;"Poppi QTπ";"{""Effects"": [""+100.0 base Affinity""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
27;"Wood-Dye Waistclothes";11;"Neuromin Textiles";50;540;"Roc";"{""Effects"": [""-6.0% Affinity loss""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
28;"Abyssturgeon Medallion";9;"Tatraty Fish";315;750;"Roc";"{""Effects"": [""-7.0% ether dmg taken""], ""Trust"": 18, ""Duration"": ""00:20:00""}"
29;"Thawing Mille-Feuille";4;"Placks Patisserie";315;450;"Brighid";"{""Effects"": [""Recharges Arts by 0.2 each second.""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
30;"Titan-Oil Hand Cream";3;"Aquaneze Cosmetics";143;540;"Brighid";"{""Effects"": [""+100.0 base Affinity""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
31;"Fried Octomayo";10;"Platini Deli";315;650;"Pandoria";"{""Effects"": [""Recharges Arts by 0.2 each second.""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
32;"Moonstar Lipstick";3;"Praximo Cosmetics";315;4500;"Pandoria";"{""Effects"": [""+150.0 base Affinity""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
33;"Fondant Rice Cake";10;"Platini Deli";315;450;"Aegaeon";"{""Effects"": [""+15.0% max HP to dmg barrier""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
34;"Montecoran Doll";1;"Talmye Antiques";370;720;"Aegaeon";"{""Effects"": [""+10.0% Affinity gain""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
35;"Estral Steak";8;"Gryff Butchers";42;60;"Godfrey";"{""Effects"": [""-3.0% physical dmg taken""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
36;"Adventures of Myram";6;"Reedirait Bookstore";22;865;"Godfrey";"{""Effects"": [""+8.0% dmg dealt by Specials"", ""Specials recharge 0.3 each second""], ""Trust"": 15, ""Duration"": ""02:24:00""}"
37;"Marine Stir-Fry";9;"Fishy Fishy";26;540;"Wulfric";"{""Effects"": [""-4.0% ether dmg taken"", ""+5.0% HP recovery"", ""+8.0% Party Gauge gain""], ""Trust"": 12, ""Duration"": ""01:00:00""}"
38;"Smack-A-Nopon";2;"Hobby Trappers";315;4320;"Wulfric";"{""Effects"": [""+14.0% base Blade Arts effect"", ""Specials recharge 0.3 each second""], ""Trust"": 21, ""Duration"": ""02:24:00""}"
39;"Scarlet Shamisen";7;"Vibrattio Instruments";131;180;"Perceval";"{""Effects"": [""Specials recharge 0.3 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
40;"Vinaigrette Ice Cabbage";12;"Lectica Vegetables";315;1500;"Perceval";"{""Effects"": [""+5.0% HP recovery"", ""+10.0% Party Gauge gain""], ""Trust"": 18, ""Duration"": ""00:40:00""}"
41;"Prickly Snowpickle";12;"Lectica Vegetables";315;4125;"Vale";"{""Effects"": [""+15.0% HP recovery"", ""+25.0% max HP to dmg barrier""], ""Trust"": 18, ""Duration"": ""01:10:00""}"
42;"Crinkly Wool";11;"Vale's Weaving";370;3170;"Vale";"{""Effects"": [""-17.0% Affinity loss""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
43;"Fish and Herb Broth";9;"Hanoon Fishmongers";197;1260;"Agate";"{""Effects"": [""-7.0% ether dmg taken"", ""Recharges Arts by 0.4 each second"", ""+8.0% HP recovery""], ""Trust"": 15, ""Duration"": ""01:10:00""}"
44;"Les Awfuls";6;"Haskefell Books";197;720;"Agate";"{""Effects"": [""+16.0% dmg dealt by Specials""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
45;"Neon Grape Flan";4;"Just Desserts";143;600;"Gorg";"{""Effects"": [""Recharges Arts by 0.3 each second."", ""-4.0% ether dmg taken""], ""Trust"": 15, ""Duration"": ""00:50:00""}"
46;"Imperial Secret Escapes";6;"Haskefell Books";197;720;"Gorg";"{""Effects"": [""+16.0% dmg dealt by Specials""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
47;"Massive Mushroom Pie";10;"Rumbletum Canteen";14;90;"Boreas";"{""Effects"": [""+15.0% max HP to dmg barrier""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
48;"Frozen Odifa";5;"Cafe Lutino";370;120;"Boreas";"{""Effects"": [""+20% Party Gauge gain""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
49;"Aromalocaris Sautee";9;"Tatraty Fish";315;600;"Dagas";"{""Effects"": [""-5.0% ether dmg taken""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
50;"Black Flower Field";1;"Cmalaf Artwork";42;360;"Dagas";"{""Effects"": [""+5.0% Affinity gain""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
51;"Felmeri Fairy Statue";1;"Yafush Antiques";197;865;"Kasandra";"{""Effects"": [""+6.0% Affinity gain"", ""-4.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:24:00""}"
52;"Astrology Made Simple";6;"Biblio Paulio";315;15840;"Kasandra";"{""Effects"": [""+24.0% dmg dealt by Specials"", ""+13.0% Affinity gain""], ""Trust"": 21, ""Duration"": ""04:00:00""}"
53;"Sno-Bake Cheesecake";4;"Placks Patisserie";315;1050;"Praxis";"{""Effects"": [""Recharges Arts by 0.4 each second.""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
54;"Curled Eyelashes";3;"Cleo's Cosmetics";14;720;"Praxis";"{""Effects"": [""+125.0 base Affinity""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
55;"Steamed Veg Stralu";12;"Lectica Vegetables";315;600;"Theory";"{""Effects"": [""+10.0% HP recovery""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
56;"Sparkly Snow Perfume";3;"Cosmetipolitan";50;3170;"Theory";"{""Effects"": [""+175.0 base Affinity"", ""Specials recharge 1.5 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
57;"Black Roast Coffee";5;"Vargel Tavern";131;60;"Perun";"{""Effects"": [""+10% Party Gauge gain""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
58;"Fonsan Viola";7;"Vibrattio Instruments";131;360;"Perun";"{""Effects"": [""Specials recharge 0.5 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
59;"Blossom Custard";4;"Sprintsy Sweets";143;135;"Kora";"{""Effects"": [""Recharges Arts by 0.3 each second.""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
60;"Conch Hairpin";3;"Cosmetipolitan";50;1730;"Kora";"{""Effects"": [""+100.0 base Affinity"", ""-6.0% Affinity loss""], ""Trust"": 15, ""Duration"": ""03:12:00""}"
61;"Red Opal Lipstick";3;"Aquaneze Cosmetics";143;360;"Azami";"{""Effects"": [""+75.0 base Affinity""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
62;"Steamflake Tabbouleh";12;"Griogair's Greens";197;810;"Azami";"{""Effects"": [""+10.0% HP recovery"", ""-4.0% ether dmg taken"", ""-3.0% physical dmg taken""], ""Trust"": 15, ""Duration"": ""01:00:00""}"
63;"Torigonda";7;"Soniarus Music";42;180;"Ursula";"{""Effects"": [""Specials recharge 0.3 each second""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
64;"Army Field Manual";2;"Elgeschel Hobby Store";197;360;"Newt";"{""Effects"": [""+8.0% Blade Arts effect""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
65;"Zaproast Power Bowl";8;"Speck Butchers";370;120;"Newt";"{""Effects"": [""-5.0% physical dmg taken""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
66;"Tricolor Bowl";10;"Pyra's Cooking";39;360;"Nim";"{""Effects"": [""+25.0% max HP to dmg barrier"", ""+8.0% HP recovery""], ""Trust"": 12, ""Duration"": ""00:30:00""}"
67;"Don't Feed the Armu";2;"Hobby Trappers";315;2700;"Nim";"{""Effects"": [""+14.0% Blade Arts effect""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
68;"Indoline Tea";5;"Cafe Lutino";370;90;"Sheba";"{""Effects"": [""+15% Party Gauge gain""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
69;"Copper Ephem Statue";1;"Yafush Antiques";197;540;"Sheba";"{""Effects"": [""+6.0% Affinity gain""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
70;"Fruity Rice Ball";4;"Honeycomb Sweets";22;180;"Vess";"{""Effects"": [""Recharges Arts by 0.3 each second"", ""-2.0% physical dmg taken""], ""Trust"": 12, ""Duration"": ""00:30:00""}"
71;"Torigoth Snowpouch";11;"Boldarde Textiles";315;21600;"Vess";"{""Effects"": [""-13.0% Affinity loss"", ""Specials recharge 1.0 each second"", ""+12.0% dmg damage dealt by Specials""], ""Trust"": 21, ""Duration"": ""04:00:00""}"
72;"Honey au Lait";5;"12 Brothersisterpon";22;540;"Electra";"{""Effects"": [""+25% Party Gauge gain"", ""-5% ether dmg taken""], ""Trust"": 12, ""Duration"": ""00:40:00""}"
73;"Hammerplate Snare";7;"Adelno Music";197;900;"Electra";"{""Effects"": [""Specials recharge 1.5 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
74;"Char-Grilled Grumbird";8;"Volty Butchers";143;1890;"Zenobia";"{""Effects"": [""-7.0% physical dmg taken"", ""Recharges Arts by 0.4 each second"", ""+8.0% HP recovery""], ""Trust"": 15, ""Duration"": ""01:10:00""}"
75;"Portrait of Ger the Hero";1;"Memoria Art";315;4500;"Zenobia";"{""Effects"": [""+13.0% Affinity gain""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
76;"Stuffed Meaty Carrot";12;"Llysiau Greens";42;90;"Finch";"{""Effects"": [""+8.0% HP recovery""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
77;"Leaf-Weave Cape";11;"Neuromin Textiles";50;1730;"Floren";"{""Effects"": [""-6.0% Affinity loss"", ""Specials recharge 0.8 each second""], ""Trust"": 15, ""Duration"": ""03:12:00""}"
78;"Snow Dumplings";4;"Placks Patisserie";315;4050;"Floren";"{""Effects"": [""Recharges Arts by 0.3 each second"", ""+5.0% HP recovery"", ""+8.0% max HP to dmg barrier""], ""Trust"": 18, ""Duration"": ""01:00:00""}"
79;"Master's Curry";10;"Brad Flatforms";143;300;"KOS-MOS";"{""Effects"": [""+25.0% max HP to dmg barrier""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
80;"Gladiator Wrestling";2;"Hobby Knick-Knacks";143;360;"KOS-MOS";"{""Effects"": [""+8.0% Blade Arts effect""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
81;"Lunana Smoothie";5;"Cafe Savvy";42;30;"Herald";"{""Effects"": [""+8.0% Party Gauge gain""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
82;"Jeweled Billiard Balls";2;"Hobby Trappers";315;16128;"Herald";"{""Effects"": [""+20.0% base Blade Arts effect"", ""+10.0% Affinity gain""], ""Trust"": 21, ""Duration"": ""03:12:00""}"
83;"Poached Fruit Samod";10;"Platini Deli";315;900;"Dahlia";"{""Effects"": [""+15.0% max HP to dmg barrier"", ""+8.0% Party Gauge gain""], ""Trust"": 18, ""Duration"": ""00:30:00""}"
84;"Tantal Icecube";1;"Dahlia's Icecraft";15;2880;"Dahlia";"{""Effects"": [""+13.0% Affinity gain"", ""Specials recharge 1.5 each second""], ""Trust"": 15, ""Duration"": ""03:12:00""}"
85;"Smoke-Braised Killifish";9;"Coral Leaf Fresh Fish";370;300;"Akhos";"{""Effects"": [""-4.0% ether dmg taken"", ""+10% Party Gauge gain""], ""Trust"": 18, ""Duration"": ""00:40:00""}"
86;"Witness the Crustip";6;"Biblio Paulio";315;3600;"Akhos";"{""Effects"": [""+16.0% dmg dealt by Specials""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
87;"Odifa Gelee Tart";4;"Salter Sweets";197;450;"Patroka";"{""Effects"": [""Recharges Arts by 0.3 each second"",""+15.0% max HP to dmg barrier""], ""Trust"": 15, ""Duration"": ""00:50:00""}"
88;"Felt Cushioning";11;"Vale's Weaving";370;1260;"Patroka";"{""Effects"": [""-6.0% Affinity loss"", ""+8.0% dmg dealt by Specials""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
89;"Vegetable Mille-Feuille";12;"Corcaja Greengrocers";370;120;"Mikhail";"{""Effects"": [""+10.0% HP recovery""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
90;"Tantalese Velvet";11;"Boldarde Textiles";315;1800;"Mikhail";"{""Effects"": [""-5.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
91;"Tantalese Porridge";10;"Platini Deli";315;600;"Obrona";"{""Effects"": [""+20.0% max HP to dmg barrier""], ""Trust"": 15, ""Duration"": ""00:20:00""}"
92;"Masterpieces of Alrest";6;"Aldomar Books";143;1260;"Obrona";"{""Effects"": [""+12.0% dmg dealt by Specials"", ""-5.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:48:00""}"
93;"Armu Milk Earl Grey";5;"Cafe Lutino";370;810;"Perdido";"{""Effects"": [""+20.0% Party Gauge gain"", ""-4.0% ether dmg taken"", ""-3.0% physical dmg taken""], ""Trust"": 18, ""Duration"": ""01:00:00""}"
94;"Skywards by Titan";1;"Maluria Antiques";142;4320;"Perdido";"{""Effects"": [""+13.0% Affinity gain"", ""+125.0 base Affinity"", ""+14.0% Blade Arts effect""], ""Trust"": 18, ""Duration"": ""04:00:00""}"
95;"Mustard Kordeth";8;"Gryff Butchers";42;1260;"Cressidus";"{""Effects"": [""-7.0% physical dmg taken"", ""-5.0% ether dmg taken"", ""+15.0% Party Gauge gain""], ""Trust"": 12, ""Duration"": ""01:10:00""}"
96;"The Blizzard Choir";7;"Biblio Paulio";315;6300;"Cressidus";"{""Effects"": [""+12.0% dmg dealt by Specials"", ""+8.0% Blade Arts""], ""Trust"": 21, ""Duration"": ""02:48:00""}"
97;"Hotplate Fry-Up";8;"Volty Butchers";143;450;"Sever";"{""Effects"": [""-4.0% physical dmg taken"", ""Recharges Arts by 0.2 each second""], ""Trust"": 15, ""Duration"": ""00:40:00""}"
98;"Chooby Tubes";2;"Elgeschel Hobby Store";197;540;"Sever";"{""Effects"": [""+14.0% Blade Arts effect""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
99;"Army-Issue Violin";7;"Adelno Music";197;720;"T-elos";"{""Effects"": [""Specials recharge 1.0 each second""], ""Trust"": 15, ""Duration"": ""02:00:00""}"
100;"Salvaging Made Easy";6;"Reedirait Bookstore";22;180;"T-elos";"{""Effects"": [""+6.0% dmg dealt by Specials""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
101;"Tasty Sausage";8;"Gryff Butchers";42;30;"Poppibuster";"{""Effects"": [""-2.0% physical dmg taken""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
102;"Nopopo Yard";2;"Hobby Knick-Knacks";143;865;"Poppibuster";"{""Effects"": [""+14.0% Blade Arts effect"", ""Specials recharge 0.3 each second""], ""Trust"": 18, ""Duration"": ""02:24:00""}"
103;"Addam's Supercakes";12;"Pyra's Cooking";39;540;"Shulk";"{""Effects"": [""+13.0% HP recovery"", ""+20.0% max HP to dmg barrier""], ""Trust"": 12, ""Duration"": ""00:40:00""}"
104;"Ardainian Arms Album";6;"Haskefell Books";197;360;"Shulk";"{""Effects"": [""+8.0% dmg dealt by Specials""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
105;"Whitebait-Samod Hotpot";3;"Tatraty Fish";315;3000;"Fiora";"{""Effects"": [""-5.0% ether dmg taken"", ""+10.0% HP recovery""], ""Trust"": 18, ""Duration"": ""00:50:00""}"
106;"Elastifying Tonic";9;"Cleo's Cosmetics";14;360;"Fiora";"{""Effects"": [""+75.0 base Affinity""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
107;"Sunshine Pie";8;"Pyra's Cooking";39;825;"Crossette";"{""Effects"": [""-9.0% physical dmg taken"", ""+13.0% HP recovery""], ""Trust"": 12, ""Duration"": ""01:10:00""}"
108;"Spicy Stralu";8;"Falala, Popstar";26;150;"Crossette";"{""Effects"": [""-7.0% physical dmg taken""], ""Trust"": 12, ""Duration"": ""00:20:00""}"
109;"Twinklejuice";5;"12 Brothersisterpon";22;60;"Corvin";"{""Effects"": [""+8% Party Gauge gain""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
110;"Nopon Chess Set";2;"Nopox Hobby Store";22;360;"Corvin";"{""Effects"": [""+8.0% Blade Arts effect""], ""Trust"": 12, ""Duration"": ""02:00:00""}"
111;"Codweave Safety Blanky";11;"Future Crafts";370;720;"Elma";"{""Effects"": [""-10.0% Affinity loss""], ""Trust"": 18, ""Duration"": ""02:00:00""}"
112;"Pipestraw Smoothie";5;"Cafe Lutino";370;300;"Elma";"{""Effects"": [""+15% Party Gauge gain"", ""-3.0% physical dmg taken""], ""Trust"": 18, ""Duration"": ""00:40:00""}"
113;"Heavy Round Shield";13;"Salvaging";290;2500;"";""
114;"Addam's Tear";16;"Collectibles";402;35;"";""
115;"Blue Ladybird";18;"Collectibles";149;15;"";""
116;"Broom Icicle";21;"Collectibles";333;15;"";""
117;"Clarity Moss";21;"Collectibles";62;50;"";""
118;"Dragon Incense";16;"Collectibles";157;50;"";""
119;"Emerald Snow";16;"Collectibles";352;30;"";""
120;"Fusty Fungus";19;"Collectibles";133;50;"";""
121;"Glory Angler";17;"Collectibles";285;50;"";""
122;"Killi-Killi Killifish";17;"Collectibles";376;60;"";""
123;"Nitrotoluite";16;"Collectibles";207;35;"";""
124;"Nopopomouli";19;"Merc Mission - Manufacture Help";47;35;"";""
125;"Rainbow Bug";18;"Collectibles";155;50;"";""
126;"Robotic Placoderm";17;"Collectibles";457;50;"";""
127;"Sand Salmon";17;"Collectibles";208;115;"";""
128;"Stream Navy";17;"Collectibles";376;15;"";""
129;"Gormotti Honeytea";5;"Cafe Savvy";42;60;"";"{""Effects"": [""+10.0% Party Gauge gain""], ""Trust"": 9, ""Duration"": ""00:20:00""}"
130;"Acqua Pearl Pazza";8;"Pyra's Cooking";39;825;"";"{""Effects"": [""-9.0% ether dmg taken"",""-7.0% physical dmg taken""], ""Trust"":  12, ""Duration"": ""00:20:00""}"
131;"Albacon Frystack";8;"Speck Butchers";365;60;"";"{""Effects"": [""-3.0% physical dmg taken""], ""Trust"":  15, ""Duration"": ""00:20:00""}"
132;"Bagna Oyster Roll";9;"Tatraty Fish";315;900;"";"{""Effects"": [""-3.0% physical dmg taken""], ""Trust"":  15, ""Duration"": ""00:20:00""}"
133;"Braised Cloud Sea Shark";9;"Coral Leaf Fresh Fish";370;240;"";"{""Effects"": [""-5% ether dmg taken"",""-5% physical dmg taken""], ""Trust"":  15, ""Duration"": ""00:20:00""}"
134;"Bullybelly Carpaccio";9;"Ikthus Fishmongers";143;135;"";"{""Effects"": [""-4.0% ether dmg taken""], ""Trust"":  12, ""Duration"": ""00:20:00""}"
135;"Estral Quotelettas";8;"Bassani Butchers";197;180;"";"{""Effects"": [""-4.0% physical dmg taken"",""-2.0% ether dmg taken""], ""Trust"":  15 per use Duration of 00:30:00.""}"
136;"Glarna Stir-Fry";8;"Speck Butchers";365;600;"";"{""Effects"": [""-5.0% physical dmg taken"",""Recharges Arts by 0.4 each second.""], ""Trust"":  18, ""Duration"": ""00:50:00""}"
137;"Grilled Anchortail";9;"Fishy Fishy";26;60;"";"{""Effects"": [""-3.0% ether dmg taken""], ""Trust"":  12, ""Duration"": ""00:20:00""}"
138;"Meat & Lentil Skewer";8;"Bassani Butchers";197;60;"";"{""Effects"": [""-3.0% physical dmg taken""], ""Trust"":  12 per use Duration of 00:20:00.""}"
139;"Meatball Pot-au-Feu";8;"Pyra's Cooking";39;90;"";"{""Effects"": [""-4.0% HP physical dmg taken""], ""Trust"":  12, ""Duration"": ""00:20:00""}"
140;"Mixed Meat Platter";8;"Volty Butchers";143;135;"";"{""Effects"": [""-4.0% physical dmg taken""], ""Trust"":  12, ""Duration"": ""00:20:00""}"
141;"The Millenarian Titan";6;"Reedirait Bookstore";22;540;"";"{""Effects"": [""+ 12.0% dmg dealt by Specials""], ""Trust"":  12, ""Duration"": ""02:00:00""}"
